ticker,ftcode
MOQ,254084
1PG,4610814
ONT,1418641
1ST,274180515
T3D,5947361
TGP,2524743
TOT,86360650
TDO,7221947
DDD,6393494
3PL,76419072
4DS,26906406
5GN,431221275
88E,230975
8CO,77805543
8IH,80536669
8EC,318451922
9SP,350856611
NNW,68193282
ACB,4721927
ARI,223393
AYI,8382813
ABP,37039
ALR,43562
ABL,100052
ABU,264781
AEG,320718230
ABT,342718931
AJC,217085
AKG,142001
AX8,445500473
AX1,239745
ACS,2524742
ACX,81194743
ACQ,74285777
ACR,37940
ACW,8548581
AIV,4293480
ACU,38146
ADA,38338
ADH,275023982
1AD,359623659
ADD,230107
AAU,36362
AHZ,64270
ADY,39160
ADJ,222495
ANO,45841
ABV,247217
ASW,11848740
ADX,39150
AER,268289400
AML,7128278
AEI,39459
AIS,29002327
AFR,6932183
AFT,40262
AFP,321649575
APT,415577754
AGL,5778716
AGJ,287953
AMN,8674068
AGR,10316346
AHL,167404
A1C,441465593
APW,204573
AGI,40562
AIZ,41981
AXP,275120399
AJL,42120
AQG,29046907
AUQ,7299505
ACL,37749
ALY,8800757
ALC,34266634
AL8,413306903
LEP,182653
AJX,102592
AEB,25060707
AQI,47926319
AQX,27872356
ALK,43190
AHQ,44567894
AMT,9222812
AQZ,40437705
AGS,40923
AGE,29717099
AYR,4293481
ALQ,79955
ARS,84559979
AZI,21808790
ATC,21200114
AIQ,5304916
1AG,11027185
ALU,43782
AME,50454234
AOH,277800
AJM,145234
AWC,55552
AMA,5332673
ANL,5937547
AYS,287814877
AMO,44776
AMB,44141
AMH,44535
AMC,44210
ABR,419006550
AOW,76419017
AMP,44817
ANQ,8737550
ALT,43672
ANR,79446348
AHR,7612942
ADN,38786
ATM,53857
AS1,446969865
AAR,36295
AGG,40532
AB1,7095583
AWV,31718959
ANN,45809
ASN,24223654
AZZ,56535
ATT,3160801
ADO,260118
AVD,4802237
AZY,31627545
APL,367417917
ANP,45878
APE,46648
APA,46493
AAL,11790931
APO,80344139
APD,1908419
AOP,2252611
AON,8515120
ATL,369599371
APX,82356054
ATZ,432159632
AD1,352938983
AQS,38312852
ARU,48403
ARB,48163
ARX,48449
AXE,8933855
ARL,376094874
AAD,202134
ADV,47140343
ARF,58695765
ARD,10400881
AXT,5947360
ALI,276510529
ARG,47787
ARE,47727
AGY,41019
ARA,47512
ALL,43238
AHK,30050785
AJQ,44476458
AWN,54737053
AMD,3145470
AR1,138633
ARV,6659074
AAJ,24115892
AHY,76091701
AJY,52069305
AFA,82542
ASH,77672033
AJD,57023186
DIG,77748
AJJ,5947356
AUF,9258827
AKF,2115184
APZ,47249
ASP,49207
AKM,6379051
ASY,36038
AO1,36473684
AIR,22081940
ARO,48131
ATR,54004
ASX,49480
ATA,5361442
ACG,3554762
AHN,5750168
AGO,40783
ATP,53974
ATU,46467469
AUB,3582563
AIA,41465
ACP,35655549
AD8,415778133
AKP,141091
AKN,8802066
AU8,39706329
AEE,4802239
AMI,7308393
AUR,210440
AZJ,26900786
AOU,36099304
ABW,4721929
AIB,9114664
A3D,359322891
ARM,48035
AUP,7892767
AQJ,6672769
ANW,25671908
AC8,35330405
ASL,49074
AUC,21723893
AMG,43444206
AOA,17924579
AST,3701898
AQD,47369
ARK,3094568
ASB,48693
AUL,5909241
AUH,35544754
AOK,9222814
ANG,45603
ACK,9390150
APG,46706
AGD,92553
ARH,252863
ANZ,46090
AYM,34969081
AAC,35993
AAP,233126
ABX,21420842
ACO,82040525
AHF,4950136
AYF,5457157
AEF,39378
AFG,88582259
AFI,40074
AQF,22926371
ALF,286178
AYJ,68917851
AYK,68917852
AYZ,293718307
AUZ,54697
AQC,272937
API,46767
APC,36368870
ARC,80670972
AUI,54480
AOF,352106310
AVL,6379050
AVG,200432
AWY,206551
ATS,357032700
ANS,141262
ABA,283903
AIY,41979
AHG,3137370
ASG,371017435
AVB,9390152
AEV,5366753
AVN,308983847
AOG,107642
AVW,52305562
AVH,71433
AVJ,55093
AVZ,8242252
AWE,55588
AVQ,5528474
AXI,55928
AXL,375443822
AYG,113640
AZM,3582564
AZV,272772
AZS,212906
BBN,308353064
BPP,165941
BTI,80536682
BOQ,64580
BMN,1692863
BAP,74087881
BKP,1821322
BCL,3701900
BD1,102773
BAR,57470
BST,77450429
BSE,13217604
BSM,3386997
BAS,57558
BSR,9421729
BRL,58835476
BAT,50040296
BMH,275042487
BAU,8515119
BBX,58305
BCI,6073008
BPT,65215
BLX,73850034
BCN,5593092
BDR,8507324
BGA,36399294
BFG,9258834
BAL,77070822
BEN,59677
BLT,62892
BHD,404139949
BEL,59606
BKY,62386
BMT,361119194
BFC,297246159
BYI,68364
BHP,60947
BID,28229548
BRI,404836679
BIG,239146
BTH,403677200
BBG,58001
BIN,408038372
BGT,434745285
BBM,409599759
BNO,63926
BIT,61665
BXN,282421
BGS,5933270
BIR,4905124
BIS,41380
BSN,66498
BKI,62113
BKM,62183
BC8,445688844
BMZ,28438990
BKT,203725
BSP,34046163
BEM,445699162
BLK,5593091
BKL,62166
BSX,378488321
BWF,35839599
BWR,39358612
BLZ,63027
BGH,36805886
BDI,58949
BUL,1562366
BLA,39760025
BAF,75736395
BCT,27605534
BSL,66433
BLG,5438246
BMG,182451
BOA,41268488
BLY,7068074
BDA,368583474
BAH,428705497
BOL,64443
BBR,43678945
BLD,62555
BOE,7501402
BOT,63746
BOC,64210
BUY,67554
BCB,243115
BHL,368947107
BPH,65011
BPS,78125392
BRC,65506
BRN,38400207
BXB,61323
BVS,371006415
BRB,44457163
BRG,150649
BKW,62370
BBL,58108
BGP,417550502
BRO,65936
BCK,28856240
BPL,27209221
BGR,250743
BEE,357797014
BRK,275465244
BYH,432161599
BSA,66232
BTT,9231395
BTC,66844
BUB,147448
BUD,6133403
BUG,67376
BIQ,320824525
BNR,28290846
BPF,39109400
BRU,12726856
BUX,8382814
BMP,31982624
BWP,68005
BWX,315686855
BYE,1832678
BPG,65005
CAB,69318
CDM,5933277
CAD,205463
CAI,231687
CE1,4974472
CTX,83276
CAN,408163674
CAE,1766112
CP1,430707582
CAY,24115563
CFE,164566
CAG,441206941
CZZ,46718237
CMY,6063614
CAJ,4905123
CAA,69279
CMM,12243010
CAQ,82603054
CVV,5892637
CWX,443107994
CRB,6785712
CNX,21851881
CRM,81380
CG1,448575443
CDV,35292739
CDD,72054
CDP,72263
CIN,75783
CVN,83935
CAV,6672768
CCE,78489
CAP,8737551
CAR,20525895
CCV,71867
CZI,39503167
CMD,5086970
CCZ,28155313
CDT,4574061
CYL,5120342
CAT,82162985
CXU,253740
CAZ,70441
CBC,82304823
CBL,308087632
CT1,41006
CWP,84342
CNL,21561804
CDY,2754755
CLT,77143
CLA,282417
CTM,138137
CTL,45126611
CVR,7576082
CTP,3494642
CAF,27731853
CXM,4798444
CNI,220960
CIP,59713041
CMA,80536687
CYA,84686
CVS,83995
CFO,357797431
CHN,4483100
CEL,8952554
CGF,73885
